Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 01:44:32.893000,1,0 days 00:01:31.829000,27,,,0 days 00:00:31.186000,0 days 00:00:34.746000,0 days 00:00:25.897000,0 days 01:43:32.250000,0 days 01:44:06.996000,0 days 01:44:32.893000,215.0,187.0,274.0,305.0,False,HARD,27.0,True,1,0 days 01:43:01.064000,Red Bull Racing,VER,1,True,2023-05-07 20:14:02.322
0 days 01:46:04.669000,1,0 days 00:01:31.776000,28,,,0 days 00:00:31.310000,0 days 00:00:34.719000,0 days 00:00:25.747000,0 days 01:45:04.203000,0 days 01:45:38.922000,0 days 01:46:04.669000,212.0,188.0,275.0,312.0,False,HARD,28.0,True,1,0 days 01:44:32.893000,Red Bull Racing,VER,1,True,2023-05-07 20:15:34.151
0 days 01:47:36.489000,1,0 days 00:01:31.820000,29,,,0 days 00:00:31.282000,0 days 00:00:34.809000,0 days 00:00:25.729000,0 days 01:46:35.951000,0 days 01:47:10.760000,0 days 01:47:36.489000,,188.0,275.0,309.0,False,HARD,29.0,True,1,0 days 01:46:04.669000,Red Bull Racing,VER,1,True,2023-05-07 20:17:05.927
0 days 01:49:08.973000,1,0 days 00:01:32.484000,30,,,0 days 00:00:31.312000,0 days 00:00:34.852000,0 days 00:00:26.320000,0 days 01:48:07.801000,0 days 01:48:42.653000,0 days 01:49:08.973000,213.0,187.0,276.0,313.0,False,HARD,30.0,True,1,0 days 01:47:36.489000,Red Bull Racing,VER,1,True,2023-05-07 20:18:37.747
0 days 01:50:40.600000,1,0 days 00:01:31.627000,31,,,0 days 00:00:31.100000,0 days 00:00:34.899000,0 days 00:00:25.628000,0 days 01:49:40.073000,0 days 01:50:14.972000,0 days 01:50:40.600000,215.0,188.0,276.0,315.0,False,HARD,31.0,True,1,0 days 01:49:08.973000,Red Bull Racing,VER,1,True,2023-05-07 20:20:10.231
0 days 01:52:11.893000,1,0 days 00:01:31.293000,32,,,0 days 00:00:31.006000,0 days 00:00:34.601000,0 days 00:00:25.686000,0 days 01:51:11.606000,0 days 01:51:46.207000,0 days 01:52:11.893000,214.0,188.0,275.0,316.0,False,HARD,32.0,True,1,0 days 01:50:40.600000,Red Bull Racing,VER,1,True,2023-05-07 20:21:41.858
0 days 01:53:43.374000,1,0 days 00:01:31.481000,33,,,0 days 00:00:31.217000,0 days 00:00:34.678000,0 days 00:00:25.586000,0 days 01:52:43.110000,0 days 01:53:17.788000,0 days 01:53:43.374000,211.0,187.0,274.0,329.0,False,HARD,33.0,True,1,0 days 01:52:11.893000,Red Bull Racing,VER,1,True,2023-05-07 20:23:13.151
0 days 01:55:14.804000,1,0 days 00:01:31.430000,34,,,0 days 00:00:31.098000,0 days 00:00:34.604000,0 days 00:00:25.728000,0 days 01:54:14.472000,0 days 01:54:49.076000,0 days 01:55:14.804000,215.0,188.0,275.0,312.0,False,HARD,34.0,True,1,0 days 01:53:43.374000,Red Bull Racing,VER,1,True,2023-05-07 20:24:44.632
0 days 01:56:46.029000,1,0 days 00:01:31.225000,35,,,0 days 00:00:30.967000,0 days 00:00:34.541000,0 days 00:00:25.717000,0 days 01:55:45.771000,0 days 01:56:20.312000,0 days 01:56:46.029000,,188.0,276.0,312.0,False,HARD,35.0,True,1,0 days 01:55:14.804000,Red Bull Racing,VER,1,True,2023-05-07 20:26:16.062
0 days 01:58:17.413000,1,0 days 00:01:31.384000,36,,,0 days 00:00:30.936000,0 days 00:00:34.808000,0 days 00:00:25.640000,0 days 01:57:16.965000,0 days 01:57:51.773000,0 days 01:58:17.413000,,187.0,275.0,315.0,False,HARD,36.0,True,1,0 days 01:56:46.029000,Red Bull Racing,VER,1,True,2023-05-07 20:27:47.287
0 days 01:59:48.681000,1,0 days 00:01:31.268000,37,,,0 days 00:00:30.876000,0 days 00:00:34.661000,0 days 00:00:25.731000,0 days 01:58:48.289000,0 days 01:59:22.950000,0 days 01:59:48.681000,217.0,188.0,276.0,314.0,False,HARD,37.0,True,1,0 days 01:58:17.413000,Red Bull Racing,VER,1,True,2023-05-07 20:29:18.671
0 days 02:01:19.880000,1,0 days 00:01:31.199000,38,,,0 days 00:00:31.017000,0 days 00:00:34.576000,0 days 00:00:25.606000,0 days 02:00:19.698000,0 days 02:00:54.274000,0 days 02:01:19.880000,210.0,188.0,276.0,318.0,False,HARD,38.0,True,1,0 days 01:59:48.681000,Red Bull Racing,VER,1,True,2023-05-07 20:30:49.939
0 days 02:02:51.324000,1,0 days 00:01:31.444000,39,,,0 days 00:00:31.083000,0 days 00:00:34.740000,0 days 00:00:25.621000,0 days 02:01:50.963000,0 days 02:02:25.703000,0 days 02:02:51.324000,216.0,188.0,276.0,314.0,False,HARD,39.0,True,1,0 days 02:01:19.880000,Red Bull Racing,VER,1,True,2023-05-07 20:32:21.138
0 days 02:04:22.612000,1,0 days 00:01:31.288000,40,,,0 days 00:00:30.906000,0 days 00:00:34.749000,0 days 00:00:25.633000,0 days 02:03:22.230000,0 days 02:03:56.979000,0 days 02:04:22.612000,,188.0,284.0,318.0,False,HARD,40.0,True,1,0 days 02:02:51.324000,Red Bull Racing,VER,1,True,2023-05-07 20:33:52.582
0 days 02:05:53.616000,1,0 days 00:01:31.004000,41,,,0 days 00:00:30.685000,0 days 00:00:34.707000,0 days 00:00:25.612000,0 days 02:04:53.297000,0 days 02:05:28.004000,0 days 02:05:53.616000,,188.0,276.0,316.0,False,HARD,41.0,True,1,0 days 02:04:22.612000,Red Bull Racing,VER,1,True,2023-05-07 20:35:23.870
0 days 02:07:24.738000,1,0 days 00:01:31.122000,42,,,0 days 00:00:30.861000,0 days 00:00:34.716000,0 days 00:00:25.545000,0 days 02:06:24.477000,0 days 02:06:59.193000,0 days 02:07:24.738000,217.0,189.0,277.0,317.0,False,HARD,42.0,True,1,0 days 02:05:53.616000,Red Bull Racing,VER,1,True,2023-05-07 20:36:54.874
0 days 02:08:55.726000,1,0 days 00:01:30.988000,43,,,0 days 00:00:30.870000,0 days 00:00:34.540000,0 days 00:00:25.578000,0 days 02:07:55.608000,0 days 02:08:30.148000,0 days 02:08:55.726000,216.0,189.0,278.0,318.0,False,HARD,43.0,True,1,0 days 02:07:24.738000,Red Bull Racing,VER,1,True,2023-05-07 20:38:25.996
0 days 02:10:26.782000,1,0 days 00:01:31.056000,44,,,0 days 00:00:30.942000,0 days 00:00:34.532000,0 days 00:00:25.582000,0 days 02:09:26.668000,0 days 02:10:01.200000,0 days 02:10:26.782000,217.0,189.0,279.0,312.0,False,HARD,44.0,True,1,0 days 02:08:55.726000,Red Bull Racing,VER,1,True,2023-05-07 20:39:56.984
0 days 02:12:02.638000,1,0 days 00:01:35.856000,45,,0 days 02:11:57.160000,0 days 00:00:30.860000,0 days 00:00:34.777000,0 days 00:00:30.219000,0 days 02:10:57.642000,0 days 02:11:32.419000,0 days 02:12:02.638000,215.0,188.0,,319.0,False,HARD,45.0,True,1,0 days 02:10:26.782000,Red Bull Racing,VER,1,False,2023-05-07 20:41:28.040
0 days 02:13:48.761000,1,0 days 00:01:46.123000,46,0 days 02:12:19.847000,,0 days 00:00:46.323000,0 days 00:00:34.402000,0 days 00:00:25.398000,0 days 02:12:48.961000,0 days 02:13:23.363000,0 days 02:13:48.761000,218.0,191.0,282.0,315.0,False,MEDIUM,1.0,True,2,0 days 02:12:02.638000,Red Bull Racing,VER,1,False,2023-05-07 20:43:03.896
0 days 02:15:19.940000,1,0 days 00:01:31.179000,47,,,0 days 00:00:30.890000,0 days 00:00:34.723000,0 days 00:00:25.566000,0 days 02:14:19.651000,0 days 02:14:54.374000,0 days 02:15:19.940000,,189.0,283.0,341.0,False,MEDIUM,2.0,True,2,0 days 02:13:48.761000,Red Bull Racing,VER,1,True,2023-05-07 20:44:50.019
0 days 02:16:50.577000,1,0 days 00:01:30.637000,48,,,0 days 00:00:30.814000,0 days 00:00:34.343000,0 days 00:00:25.480000,0 days 02:15:50.754000,0 days 02:16:25.097000,0 days 02:16:50.577000,,189.0,278.0,314.0,False,MEDIUM,3.0,True,2,0 days 02:15:19.940000,Red Bull Racing,VER,1,True,2023-05-07 20:46:21.198
0 days 02:18:21.487000,1,0 days 00:01:30.910000,49,,,0 days 00:00:30.790000,0 days 00:00:34.700000,0 days 00:00:25.420000,0 days 02:17:21.367000,0 days 02:17:56.067000,0 days 02:18:21.487000,,190.0,276.0,316.0,False,MEDIUM,4.0,True,2,0 days 02:16:50.577000,Red Bull Racing,VER,1,True,2023-05-07 20:47:51.835
0 days 02:19:52.324000,1,0 days 00:01:30.837000,50,,,0 days 00:00:30.970000,0 days 00:00:34.403000,0 days 00:00:25.464000,0 days 02:18:52.457000,0 days 02:19:26.860000,0 days 02:19:52.324000,216.0,190.0,277.0,317.0,False,MEDIUM,5.0,True,2,0 days 02:18:21.487000,Red Bull Racing,VER,1,True,2023-05-07 20:49:22.745
0 days 02:21:23.023000,1,0 days 00:01:30.699000,51,,,0 days 00:00:30.775000,0 days 00:00:34.423000,0 days 00:00:25.501000,0 days 02:20:23.099000,0 days 02:20:57.522000,0 days 02:21:23.023000,218.0,191.0,277.0,317.0,False,MEDIUM,6.0,True,2,0 days 02:19:52.324000,Red Bull Racing,VER,1,True,2023-05-07 20:50:53.582
0 days 02:22:53.395000,1,0 days 00:01:30.372000,52,,,0 days 00:00:30.501000,0 days 00:00:34.366000,0 days 00:00:25.505000,0 days 02:21:53.524000,0 days 02:22:27.890000,0 days 02:22:53.395000,216.0,190.0,275.0,318.0,False,MEDIUM,7.0,True,2,0 days 02:21:23.023000,Red Bull Racing,VER,1,True,2023-05-07 20:52:24.281
0 days 02:24:23.941000,1,0 days 00:01:30.546000,53,,,0 days 00:00:30.686000,0 days 00:00:34.429000,0 days 00:00:25.431000,0 days 02:23:24.081000,0 days 02:23:58.510000,0 days 02:24:23.941000,218.0,191.0,277.0,317.0,False,MEDIUM,8.0,True,2,0 days 02:22:53.395000,Red Bull Racing,VER,1,True,2023-05-07 20:53:54.653
0 days 02:25:54.433000,1,0 days 00:01:30.492000,54,,,0 days 00:00:30.525000,0 days 00:00:34.494000,0 days 00:00:25.473000,0 days 02:24:54.466000,0 days 02:25:28.960000,0 days 02:25:54.433000,,190.0,278.0,318.0,False,MEDIUM,9.0,True,2,0 days 02:24:23.941000,Red Bull Racing,VER,1,True,2023-05-07 20:55:25.199
0 days 02:27:24.824000,1,0 days 00:01:30.391000,55,,,0 days 00:00:30.556000,0 days 00:00:34.334000,0 days 00:00:25.501000,0 days 02:26:24.989000,0 days 02:26:59.323000,0 days 02:27:24.824000,,191.0,278.0,318.0,False,MEDIUM,10.0,True,2,0 days 02:25:54.433000,Red Bull Racing,VER,1,True,2023-05-07 20:56:55.691
0 days 02:28:54.532000,1,0 days 00:01:29.708000,56,,,0 days 00:00:30.233000,0 days 00:00:34.098000,0 days 00:00:25.377000,0 days 02:27:55.057000,0 days 02:28:29.155000,0 days 02:28:54.532000,,191.0,280.0,324.0,True,MEDIUM,11.0,True,2,0 days 02:27:24.824000,Red Bull Racing,VER,1,True,2023-05-07 20:58:26.082
0 days 02:30:24.805000,1,0 days 00:01:30.273000,57,,,0 days 00:00:30.459000,0 days 00:00:34.397000,0 days 00:00:25.417000,0 days 02:29:24.991000,0 days 02:29:59.388000,0 days 02:30:24.805000,,191.0,278.0,315.0,False,MEDIUM,12.0,True,2,0 days 02:28:54.532000,Red Bull Racing,VER,1,True,2023-05-07 20:59:55.790
0 days 01:04:22.777000,11,,1,0 days 00:14:46.818000,,,0 days 00:00:35.141000,0 days 00:00:26.229000,,0 days 01:03:56.643000,0 days 01:04:22.862000,212.0,186.0,270.0,297.0,False,MEDIUM,1.0,True,1,0 days 01:02:46.300000,Red Bull Racing,PER,1,False,2023-05-07 19:33:47.558
0 days 01:05:56.740000,11,0 days 00:01:33.963000,2,,,0 days 00:00:32.190000,0 days 00:00:35.391000,0 days 00:00:26.382000,0 days 01:04:54.967000,0 days 01:05:30.358000,0 days 01:05:56.740000,211.0,184.0,269.0,298.0,False,MEDIUM,2.0,True,1,0 days 01:04:22.777000,Red Bull Racing,PER,1,True,2023-05-07 19:35:24.035
0 days 01:07:30.256000,11,0 days 00:01:33.516000,3,,,0 days 00:00:32.014000,0 days 00:00:35.206000,0 days 00:00:26.296000,0 days 01:06:28.754000,0 days 01:07:03.960000,0 days 01:07:30.256000,,183.0,270.0,302.0,False,MEDIUM,3.0,True,1,0 days 01:05:56.740000,Red Bull Racing,PER,1,True,2023-05-07 19:36:57.998
0 days 01:09:03.335000,11,0 days 00:01:33.079000,4,,,0 days 00:00:31.733000,0 days 00:00:35.097000,0 days 00:00:26.249000,0 days 01:08:01.989000,0 days 01:08:37.086000,0 days 01:09:03.335000,213.0,184.0,271.0,303.0,False,MEDIUM,4.0,True,1,0 days 01:07:30.256000,Red Bull Racing,PER,1,True,2023-05-07 19:38:31.514
0 days 01:10:36.593000,11,0 days 00:01:33.258000,5,,,0 days 00:00:31.757000,0 days 00:00:35.309000,0 days 00:00:26.192000,0 days 01:09:35.092000,0 days 01:10:10.401000,0 days 01:10:36.593000,210.0,184.0,271.0,307.0,False,MEDIUM,5.0,True,1,0 days 01:09:03.335000,Red Bull Racing,PER,1,True,2023-05-07 19:40:04.593
0 days 01:12:09.955000,11,0 days 00:01:33.362000,6,,,0 days 00:00:31.794000,0 days 00:00:35.331000,0 days 00:00:26.237000,0 days 01:11:08.387000,0 days 01:11:43.718000,0 days 01:12:09.955000,211.0,184.0,272.0,295.0,False,MEDIUM,6.0,True,1,0 days 01:10:36.593000,Red Bull Racing,PER,1,True,2023-05-07 19:41:37.851
0 days 01:13:42.820000,11,0 days 00:01:32.865000,7,,,0 days 00:00:31.567000,0 days 00:00:35.148000,0 days 00:00:26.150000,0 days 01:12:41.522000,0 days 01:13:16.670000,0 days 01:13:42.820000,212.0,184.0,271.0,306.0,False,MEDIUM,7.0,True,1,0 days 01:12:09.955000,Red Bull Racing,PER,1,True,2023-05-07 19:43:11.213
