Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 02:28:56.300000,44,0 days 00:01:41.315000,63,,,0 days 00:00:27.240000,0 days 00:00:47.725000,0 days 00:00:26.350000,0 days 02:27:42.225000,0 days 02:28:29.950000,0 days 02:28:56.300000,119.0,139.0,248.0,239.0,False,INTERMEDIATE,9.0,True,3,0 days 02:27:14.985000,Mercedes,HAM,1,True,2023-05-28 14:28:15.962
0 days 02:30:35.257000,44,0 days 00:01:38.957000,64,,,0 days 00:00:26.340000,0 days 00:00:46.965000,0 days 00:00:25.652000,0 days 02:29:22.640000,0 days 02:30:09.605000,0 days 02:30:35.257000,127.0,141.0,253.0,264.0,False,INTERMEDIATE,10.0,True,3,0 days 02:28:56.300000,Mercedes,HAM,1,True,2023-05-28 14:29:57.277
0 days 02:32:12.893000,44,0 days 00:01:37.636000,65,,,0 days 00:00:26.210000,0 days 00:00:46.748000,0 days 00:00:24.678000,0 days 02:31:01.467000,0 days 02:31:48.215000,0 days 02:32:12.893000,126.0,147.0,256.0,271.0,False,INTERMEDIATE,11.0,True,3,0 days 02:30:35.257000,Mercedes,HAM,1,True,2023-05-28 14:31:36.234
0 days 02:33:49.096000,44,0 days 00:01:36.203000,66,,,0 days 00:00:25.650000,0 days 00:00:46.234000,0 days 00:00:24.319000,0 days 02:32:38.543000,0 days 02:33:24.777000,0 days 02:33:49.096000,135.0,142.0,256.0,274.0,False,INTERMEDIATE,12.0,True,3,0 days 02:32:12.893000,Mercedes,HAM,1,True,2023-05-28 14:33:13.870
0 days 02:35:23.635000,44,0 days 00:01:34.539000,67,,,0 days 00:00:24.931000,0 days 00:00:45.823000,0 days 00:00:23.785000,0 days 02:34:14.027000,0 days 02:34:59.850000,0 days 02:35:23.635000,134.0,143.0,259.0,274.0,False,INTERMEDIATE,13.0,True,3,0 days 02:33:49.096000,Mercedes,HAM,1,True,2023-05-28 14:34:50.073
0 days 02:36:56.501000,44,0 days 00:01:32.866000,68,,,0 days 00:00:25.098000,0 days 00:00:44.929000,0 days 00:00:22.839000,0 days 02:35:48.733000,0 days 02:36:33.662000,0 days 02:36:56.501000,140.0,150.0,259.0,275.0,False,INTERMEDIATE,14.0,True,3,0 days 02:35:23.635000,Mercedes,HAM,1,True,2023-05-28 14:36:24.612
0 days 02:38:30.258000,44,0 days 00:01:33.757000,69,,,0 days 00:00:25.503000,0 days 00:00:46.040000,0 days 00:00:22.214000,0 days 02:37:22.004000,0 days 02:38:08.044000,0 days 02:38:30.258000,105.0,156.0,258.0,273.0,False,INTERMEDIATE,15.0,True,3,0 days 02:36:56.501000,Mercedes,HAM,2,True,2023-05-28 14:37:57.478
0 days 02:39:59.938000,44,0 days 00:01:29.680000,70,,,0 days 00:00:24.150000,0 days 00:00:43.741000,0 days 00:00:21.789000,0 days 02:38:54.408000,0 days 02:39:38.149000,0 days 02:39:59.938000,137.0,166.0,259.0,275.0,False,INTERMEDIATE,16.0,True,3,0 days 02:38:30.258000,Mercedes,HAM,1,True,2023-05-28 14:39:31.235
0 days 02:41:29.605000,44,0 days 00:01:29.667000,71,,,0 days 00:00:23.981000,0 days 00:00:43.910000,0 days 00:00:21.776000,0 days 02:40:23.919000,0 days 02:41:07.829000,0 days 02:41:29.605000,139.0,169.0,259.0,271.0,False,INTERMEDIATE,17.0,True,3,0 days 02:39:59.938000,Mercedes,HAM,1,True,2023-05-28 14:41:00.915
0 days 02:42:59.020000,44,0 days 00:01:29.415000,72,,,0 days 00:00:24.343000,0 days 00:00:43.250000,0 days 00:00:21.822000,0 days 02:41:53.948000,0 days 02:42:37.198000,0 days 02:42:59.020000,,171.0,258.0,276.0,False,INTERMEDIATE,18.0,True,3,0 days 02:41:29.605000,Mercedes,HAM,1,True,2023-05-28 14:42:30.582
0 days 02:44:26.755000,44,0 days 00:01:27.735000,73,,,0 days 00:00:24.122000,0 days 00:00:42.180000,0 days 00:00:21.433000,0 days 02:43:23.142000,0 days 02:44:05.322000,0 days 02:44:26.755000,152.0,177.0,258.0,276.0,False,INTERMEDIATE,19.0,True,3,0 days 02:42:59.020000,Mercedes,HAM,1,True,2023-05-28 14:43:59.997
0 days 02:45:53.059000,44,0 days 00:01:26.304000,74,,,0 days 00:00:22.776000,0 days 00:00:42.149000,0 days 00:00:21.379000,0 days 02:44:49.531000,0 days 02:45:31.680000,0 days 02:45:53.059000,156.0,180.0,258.0,277.0,False,INTERMEDIATE,20.0,True,3,0 days 02:44:26.755000,Mercedes,HAM,1,True,2023-05-28 14:45:27.732
0 days 02:47:18.301000,44,0 days 00:01:25.242000,75,,,0 days 00:00:22.534000,0 days 00:00:41.383000,0 days 00:00:21.325000,0 days 02:46:15.593000,0 days 02:46:56.976000,0 days 02:47:18.301000,164.0,181.0,259.0,279.0,False,INTERMEDIATE,21.0,True,3,0 days 02:45:53.059000,Mercedes,HAM,1,True,2023-05-28 14:46:54.036
0 days 02:48:42.952000,44,0 days 00:01:24.651000,76,,,0 days 00:00:22.174000,0 days 00:00:41.007000,0 days 00:00:21.470000,0 days 02:47:40.475000,0 days 02:48:21.482000,0 days 02:48:42.952000,166.0,184.0,258.0,278.0,False,INTERMEDIATE,22.0,True,3,0 days 02:47:18.301000,Mercedes,HAM,1,True,2023-05-28 14:48:19.278
0 days 02:50:09.162000,44,0 days 00:01:26.210000,77,,,0 days 00:00:22.410000,0 days 00:00:42.330000,0 days 00:00:21.470000,0 days 02:49:05.362000,0 days 02:49:47.692000,0 days 02:50:09.162000,164.0,184.0,258.0,277.0,False,INTERMEDIATE,23.0,True,3,0 days 02:48:42.952000,Mercedes,HAM,1,True,2023-05-28 14:49:43.929
0 days 02:51:34.267000,44,0 days 00:01:25.105000,78,,,0 days 00:00:22.304000,0 days 00:00:40.622000,0 days 00:00:22.179000,0 days 02:50:31.466000,0 days 02:51:12.088000,0 days 02:51:34.267000,166.0,180.0,229.0,277.0,False,INTERMEDIATE,24.0,True,3,0 days 02:50:09.162000,Mercedes,HAM,1,True,2023-05-28 14:51:10.139
0 days 01:03:33.610000,63,,1,0 days 00:13:24.533000,,,0 days 00:00:39.443000,0 days 00:00:21.744000,,0 days 01:03:11.933000,0 days 01:03:33.699000,160.0,169.0,258.0,279.0,False,HARD,1.0,True,1,0 days 01:02:02.950000,Mercedes,RUS,2,False,2023-05-28 13:03:03.927
0 days 01:04:54.765000,63,0 days 00:01:21.155000,2,,,0 days 00:00:21.784000,0 days 00:00:37.682000,0 days 00:00:21.689000,0 days 01:03:55.394000,0 days 01:04:33.076000,0 days 01:04:54.765000,182.0,171.0,257.0,279.0,False,HARD,2.0,True,1,0 days 01:03:33.610000,Mercedes,RUS,1,True,2023-05-28 13:04:34.587
0 days 01:06:15.056000,63,0 days 00:01:20.291000,3,,,0 days 00:00:21.169000,0 days 00:00:37.663000,0 days 00:00:21.459000,0 days 01:05:15.934000,0 days 01:05:53.597000,0 days 01:06:15.056000,190.0,174.0,257.0,278.0,False,HARD,3.0,True,1,0 days 01:04:54.765000,Mercedes,RUS,1,True,2023-05-28 13:05:55.742
0 days 01:07:35.086000,63,0 days 00:01:20.030000,4,,,0 days 00:00:21.140000,0 days 00:00:37.480000,0 days 00:00:21.410000,0 days 01:06:36.196000,0 days 01:07:13.676000,0 days 01:07:35.086000,191.0,176.0,256.0,276.0,False,HARD,4.0,True,1,0 days 01:06:15.056000,Mercedes,RUS,1,True,2023-05-28 13:07:16.033
0 days 01:08:53.926000,63,0 days 00:01:18.840000,5,,,0 days 00:00:20.820000,0 days 00:00:36.963000,0 days 00:00:21.057000,0 days 01:07:55.906000,0 days 01:08:32.869000,0 days 01:08:53.926000,189.0,181.0,258.0,275.0,False,HARD,5.0,True,1,0 days 01:07:35.086000,Mercedes,RUS,1,True,2023-05-28 13:08:36.063
0 days 01:10:12.871000,63,0 days 00:01:18.945000,6,,,0 days 00:00:20.735000,0 days 00:00:37.171000,0 days 00:00:21.039000,0 days 01:09:14.661000,0 days 01:09:51.832000,0 days 01:10:12.871000,194.0,181.0,256.0,276.0,False,HARD,6.0,True,1,0 days 01:08:53.926000,Mercedes,RUS,1,True,2023-05-28 13:09:54.903
0 days 01:11:31.454000,63,0 days 00:01:18.583000,7,,,0 days 00:00:20.729000,0 days 00:00:36.899000,0 days 00:00:20.955000,0 days 01:10:33.600000,0 days 01:11:10.499000,0 days 01:11:31.454000,193.0,182.0,258.0,278.0,False,HARD,7.0,True,1,0 days 01:10:12.871000,Mercedes,RUS,1,True,2023-05-28 13:11:13.848
0 days 01:12:50.444000,63,0 days 00:01:18.990000,8,,,0 days 00:00:20.702000,0 days 00:00:37.206000,0 days 00:00:21.082000,0 days 01:11:52.156000,0 days 01:12:29.362000,0 days 01:12:50.444000,189.0,177.0,259.0,279.0,False,HARD,8.0,True,1,0 days 01:11:31.454000,Mercedes,RUS,1,True,2023-05-28 13:12:32.431
0 days 01:14:09.469000,63,0 days 00:01:19.025000,9,,,0 days 00:00:20.939000,0 days 00:00:36.978000,0 days 00:00:21.108000,0 days 01:13:11.383000,0 days 01:13:48.361000,0 days 01:14:09.469000,192.0,180.0,258.0,279.0,False,HARD,9.0,True,1,0 days 01:12:50.444000,Mercedes,RUS,1,True,2023-05-28 13:13:51.421
0 days 01:15:28.035000,63,0 days 00:01:18.566000,10,,,0 days 00:00:20.693000,0 days 00:00:37.032000,0 days 00:00:20.841000,0 days 01:14:30.162000,0 days 01:15:07.194000,0 days 01:15:28.035000,189.0,184.0,257.0,278.0,False,HARD,10.0,True,1,0 days 01:14:09.469000,Mercedes,RUS,1,True,2023-05-28 13:15:10.446
0 days 01:16:46.518000,63,0 days 00:01:18.483000,11,,,0 days 00:00:20.787000,0 days 00:00:36.810000,0 days 00:00:20.886000,0 days 01:15:48.822000,0 days 01:16:25.632000,0 days 01:16:46.518000,196.0,184.0,258.0,277.0,False,HARD,11.0,True,1,0 days 01:15:28.035000,Mercedes,RUS,1,True,2023-05-28 13:16:29.012
0 days 01:18:04.977000,63,0 days 00:01:18.459000,12,,,0 days 00:00:21.157000,0 days 00:00:36.614000,0 days 00:00:20.688000,0 days 01:17:07.675000,0 days 01:17:44.289000,0 days 01:18:04.977000,192.0,189.0,257.0,278.0,False,HARD,12.0,True,1,0 days 01:16:46.518000,Mercedes,RUS,2,True,2023-05-28 13:17:47.495
0 days 01:19:22.764000,63,0 days 00:01:17.787000,13,,,0 days 00:00:20.598000,0 days 00:00:36.554000,0 days 00:00:20.635000,0 days 01:18:25.575000,0 days 01:19:02.129000,0 days 01:19:22.764000,,186.0,258.0,278.0,False,HARD,13.0,True,1,0 days 01:18:04.977000,Mercedes,RUS,1,True,2023-05-28 13:19:05.954
0 days 01:20:41.050000,63,0 days 00:01:18.286000,14,,,0 days 00:00:20.609000,0 days 00:00:36.794000,0 days 00:00:20.883000,0 days 01:19:43.373000,0 days 01:20:20.167000,0 days 01:20:41.050000,,184.0,258.0,279.0,False,HARD,14.0,True,1,0 days 01:19:22.764000,Mercedes,RUS,2,True,2023-05-28 13:20:23.741
0 days 01:21:59.581000,63,0 days 00:01:18.531000,15,,,0 days 00:00:20.706000,0 days 00:00:36.850000,0 days 00:00:20.975000,0 days 01:21:01.756000,0 days 01:21:38.606000,0 days 01:21:59.581000,193.0,182.0,257.0,279.0,False,HARD,15.0,True,1,0 days 01:20:41.050000,Mercedes,RUS,1,True,2023-05-28 13:21:42.027
0 days 01:23:18.083000,63,0 days 00:01:18.502000,16,,,0 days 00:00:20.614000,0 days 00:00:36.957000,0 days 00:00:20.931000,0 days 01:22:20.195000,0 days 01:22:57.152000,0 days 01:23:18.083000,195.0,180.0,257.0,279.0,False,HARD,16.0,True,1,0 days 01:21:59.581000,Mercedes,RUS,1,True,2023-05-28 13:23:00.558
0 days 01:24:36.327000,63,0 days 00:01:18.244000,17,,,0 days 00:00:20.710000,0 days 00:00:36.722000,0 days 00:00:20.812000,0 days 01:23:38.793000,0 days 01:24:15.515000,0 days 01:24:36.327000,192.0,182.0,257.0,279.0,False,HARD,17.0,True,1,0 days 01:23:18.083000,Mercedes,RUS,1,True,2023-05-28 13:24:19.060
0 days 01:25:54.556000,63,0 days 00:01:18.229000,18,,,0 days 00:00:20.493000,0 days 00:00:36.799000,0 days 00:00:20.937000,0 days 01:24:56.820000,0 days 01:25:33.619000,0 days 01:25:54.556000,198.0,182.0,257.0,278.0,False,HARD,18.0,True,1,0 days 01:24:36.327000,Mercedes,RUS,1,True,2023-05-28 13:25:37.304
0 days 01:27:12.855000,63,0 days 00:01:18.299000,19,,,0 days 00:00:20.651000,0 days 00:00:36.740000,0 days 00:00:20.908000,0 days 01:26:15.207000,0 days 01:26:51.947000,0 days 01:27:12.855000,188.0,184.0,257.0,278.0,False,HARD,19.0,True,1,0 days 01:25:54.556000,Mercedes,RUS,1,True,2023-05-28 13:26:55.533
0 days 01:28:31.175000,63,0 days 00:01:18.320000,20,,,0 days 00:00:20.523000,0 days 00:00:36.906000,0 days 00:00:20.891000,0 days 01:27:33.378000,0 days 01:28:10.284000,0 days 01:28:31.175000,197.0,190.0,257.0,279.0,False,HARD,20.0,True,1,0 days 01:27:12.855000,Mercedes,RUS,1,True,2023-05-28 13:28:13.832
0 days 01:29:49.261000,63,0 days 00:01:18.086000,21,,,0 days 00:00:20.536000,0 days 00:00:36.661000,0 days 00:00:20.889000,0 days 01:28:51.711000,0 days 01:29:28.372000,0 days 01:29:49.261000,,190.0,257.0,279.0,False,HARD,21.0,True,1,0 days 01:28:31.175000,Mercedes,RUS,1,True,2023-05-28 13:29:32.152
0 days 01:31:07.140000,63,0 days 00:01:17.879000,22,,,0 days 00:00:20.466000,0 days 00:00:36.531000,0 days 00:00:20.882000,0 days 01:30:09.727000,0 days 01:30:46.258000,0 days 01:31:07.140000,196.0,190.0,257.0,274.0,False,HARD,22.0,True,1,0 days 01:29:49.261000,Mercedes,RUS,1,True,2023-05-28 13:30:50.238
0 days 01:32:25.251000,63,0 days 00:01:18.111000,23,,,0 days 00:00:20.625000,0 days 00:00:36.726000,0 days 00:00:20.760000,0 days 01:31:27.765000,0 days 01:32:04.491000,0 days 01:32:25.251000,186.0,186.0,257.0,275.0,False,HARD,23.0,True,1,0 days 01:31:07.140000,Mercedes,RUS,1,True,2023-05-28 13:32:08.117
0 days 01:33:42.960000,63,0 days 00:01:17.709000,24,,,0 days 00:00:20.563000,0 days 00:00:36.481000,0 days 00:00:20.665000,0 days 01:32:45.814000,0 days 01:33:22.295000,0 days 01:33:42.960000,191.0,189.0,258.0,276.0,False,HARD,24.0,True,1,0 days 01:32:25.251000,Mercedes,RUS,1,True,2023-05-28 13:33:26.228
0 days 01:35:00.608000,63,0 days 00:01:17.648000,25,,,0 days 00:00:20.339000,0 days 00:00:36.507000,0 days 00:00:20.802000,0 days 01:34:03.299000,0 days 01:34:39.806000,0 days 01:35:00.608000,197.0,189.0,257.0,279.0,False,HARD,25.0,True,1,0 days 01:33:42.960000,Mercedes,RUS,1,True,2023-05-28 13:34:43.937
